SET_NUM,QUESTION_1_SECURITY,QUESTION_1_SCHOOL,QUESTION_1_RENT,QUESTION_1_DISTANCE,QUESTION_2_SECURITY,QUESTION_2_SCHOOL,QUESTION_2_RENT,QUESTION_2_DISTANCE,QUESTION_3_SECURITY,QUESTION_3_SCHOOL,QUESTION_3_RENT,QUESTION_3_DISTANCE,USAGE_COUNT,currently_used
1,1,3,2,2,2,1,3,1,3,3,1,3,9,1
2,1,1,3,2,2,3,2,1,3,1,1,2,9,0
3,1,3,2,3,2,2,3,2,3,2,1,3,9,0
4,1,2,3,1,2,3,2,3,3,1,3,3,9,0
5,1,2,3,2,2,2,1,3,3,3,1,3,9,0
6,1,1,2,3,2,3,3,2,3,1,1,2,9,0
7,1,3,3,1,2,2,1,1,3,3,1,3,9,0
8,1,1,3,3,2,2,1,2,3,1,3,1,9,0
9,1,2,1,3,2,3,3,3,3,1,1,3,9,0
10,1,2,1,2,2,1,2,1,3,3,1,3,9,0
11,1,1,1,2,2,2,3,3,3,2,1,2,9,0
12,1,2,1,1,2,3,2,2,3,2,1,3,9,0
13,1,3,3,2,2,1,2,3,3,3,2,2,9,0
14,1,1,2,1,2,3,1,2,3,2,2,1,9,0
15,1,1,1,3,2,3,1,1,3,2,3,2,9,0
16,1,3,1,1,2,1,3,2,3,2,3,2,9,0
17,1,3,3,3,2,1,2,2,3,1,2,1,9,0
18,1,2,2,2,2,1,3,3,3,1,1,1,9,0
19,1,2,2,3,2,3,3,1,3,1,3,3,9,0
20,1,2,3,3,2,1,1,2,3,3,2,2,9,0
21,1,2,2,1,2,3,1,3,3,3,3,3,9,0
22,1,3,1,3,2,2,2,2,3,1,1,3,9,0
23,1,1,2,2,2,2,3,1,3,1,1,3,9,0
24,1,1,1,1,2,2,2,3,3,2,1,1,9,0
25,1,3,1,2,2,2,2,1,3,2,3,3,9,0
26,1,3,2,1,2,1,1,1,3,2,3,1,8,0
27,1,1,3,1,2,1,1,3,3,1,3,2,8,0