From,To,Kilometers max,Hours,Kilometers min,Hours
Dhaka,Dhaka,0,0,0,0
Dhaka,Chittagong,265,6.6,249,4.5
Dhaka,Mymensingh,138,3.5,112,3
Dhaka,Khulna,270,7,232,8
Dhaka,Rajshahi,248,5.5,293,8.5
Dhaka,Rangpur,303,7.5,n/a,n/a
Dhaka,Sylhet,241,5.5,n/a,n/a
Chittagong,Chittagong,0,0,0,0
Chittagong,Dhaka,265,7,244,4.5
Chittagong,Mymensingh,390,9,358,7
Chittagong,Khulna,444,10.5,350,11.5
Chittagong,Rajshahi,542,13,491,12
Chittagong,Rangpur,718,20,547,12
Chittagong,Sylhet,377,8,n/a,n/a
Rajshahi,Rajshahi,0,0,0,0
Rajshahi,Dhaka,246,7,263,8
Rajshahi,Chittagong,494,11,497,12
Rajshahi,Khulna,265,8,399,9
Rajshahi,Mymensingh,240,6.4,296,7
Rajshahi,Rangpur,159,4.5,148,4.4
Rajshahi,Sylhet,462,11.4,489,12.7
Khulna,Khulna,0,0,0,0
Khulna,Chittagong,386,12,496,13
Khulna,Dhaka,259,7.5,311,8
Khulna,Mymensingh,393,10,397,10.4
Khulna,Rajshahi,266,7,398,8.7
Khulna,Rangpur,439,10,571,12
Khulna,Sylhet,452,11.4,577,14
Mymensingh,Mymensingh,0,0,0,0
Mymensingh,Chittagong,360,7.4,383,8
Mymensingh,Dhaka,116,3,121,3.5
Mymensingh,Khulna,384,9,385,9
Mymensingh,Rajshahi,246,6.5,n/a,n/a
Mymensingh,Rangpur,293,7,n/a,n/a
Mymensingh,Sylhet,283,6,306,7
Rangpur,Rangpur,0,0,0,0
Rangpur,Chittagong,545,12,n/a,n/a
Rangpur,Dhaka,297,7.5,n/a,n/a
Rangpur,Khulna,406,10,497,13
Rangpur,Mymensingh,292,7.5,n/a,n/a
Rangpur,Rajshahi,212,5.5,263,6
Rangpur,Sylhet,511,12,551,13.5
Sylhet,Sylhet,0,0,0,0
Sylhet,Chittagong,377,8,n/a,n/a
Sylhet,Dhaka,441,5.5,n/a,n/a
Sylhet,Khulna,452,11.4,577,14
Sylhet,Mymensingh,283,6,306,7
Sylhet,Rajshahi,462,11.4,489,12.7
Sylhet,Rangpur,511,12,551,13.5